Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping
Incident,2016,October,Central America,North America,Guatemala,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.62525, -111.8471",Northern America
Incident,2016,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Imperial County, California, USA",Desaparecidos y sin reclamar en la frontera via Facebook,"33.0249505, -115.8450245",Northern America
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,6,0,6,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"15.5015341, 32.5025561",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"17.6922271, 33.9762492",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"One was at Kabish, Sudan and the other was in the small cave in the Sahra desert",Mixed Migration Monitoring Mechanism Initative (4mi),"13.8594069, 33.0853273",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"In the Sahara Desert in Aswan, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"23.459686, 30.6654494",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"14.0316722, 35.3417723",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,30,0,30,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"23.285107, 31.5204557",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,6,0,6,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Kufrah, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),"23.2488413, 19.7242161",Northern Africa
Incident,2016,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Harar, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),"9.3128486, 42.1006391",Eastern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Kassala, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"15.4558144, 36.3787571",Northern Africa
Incident,2016,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Harar, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),"9.3128486, 42.1006391",Eastern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,6,0,6,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sennar, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"12.9179932, 33.19502",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,5,0,5,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Asyut, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"27.1801603, 31.1535297",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"15.5015341, 32.5025561",Northern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,12,0,12,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"23.285107, 31.5204557",Northern Africa
Incident,2016,October,Eastern Africa (P),Eastern Africa,Unknown,5,0,5,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Gondar, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),"12.601127, 37.4389385",Eastern Africa
Incident,2016,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,,"Tunduma, Tanzania",Mixed Migration Monitoring Mechanism Initative (4mi),"-9.3103227, 32.752266",Eastern Africa
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Luxor, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"25.6948967, 32.624478",Northern Africa
Incident,2016,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,"Mbaya, Tanzania",Mixed Migration Monitoring Mechanism Initative (4mi),"-5.0448997, 32.0644998",Eastern Africa
Incident,2016,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Violence,,"Dire Dawa, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),"9.5575102, 41.8113306",Eastern Africa
Incident,2016,October,Eastern Africa,Eastern Africa,Ethiopia,14,0,14,300,0,0,0,Mixed or unknown,Horn of Africa to Yemen crossing,"Boat arrived to Guehere, near Obock, Djibouti",IOM Djibouti,"11.9618171, 43.2964341",Uncategorized
Incident,2016,October,Unknown,Mediterranean,Unknown,1,0,1,0,1,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Unknown,Mediterranean,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Mixed,Mediterranean,Unknown,13,0,13,120,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,"IOM Italy, UNHCR","34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Mixed,Mediterranean,Unknown,4,10,14,0,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,"IOM Italy, UNHCR","34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Near Valsequillo, Puebla, Mexico",Puebla Roja,"18.9202545, -98.1347244",Central America
Incident,2016,October,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Desert in Ash Shimalia Province, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"19.4022552, 27.9053789",Northern Africa
Cumulative Incident,2016,October,Central America,Central America,Honduras,44,0,44,0,0,0,10,Mixed or unknown,,Various locations in Mexico,Departamento 19,"23.4586802, -105.5015737",Central America
Incident,2016,October,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Mixed,Mediterranean,Unknown,,30,30,0,2,0,1,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.091833, -112.9795",Northern America
Incident,2016,October,Central America,Central America,Nicaragua,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Reynosa, Tamaulipas, Mexico",Radio Eco Digital via Facebook ,"24.215586, -99.4332699",Central America
Incident,2016,October,Northern Africa,Europe,Sudan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Italy to France,"La Provençale, A8 motorway, France",Imperia,"43.4382779, 6.4691092",Western Europe
Incident,2016,October,Central America,Central America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Las Dos Cruces Farm in Presidentes colony, Piedras Negras, Mexico",Hoy Tamaulipas,"28.6621785, -100.5764844",Central America
Split Incident,2016,October,Latin America / Caribbean (P),Central America,"Unknown,Venezuela (Bolivarian Republic of)",2,0,2,0,0,2,0,Drowning,US-Mexico border crossing,"Rio Grande near World Trade International Bridge, Nuevo Laredo, Tamaulipas, Mexico",SDP Noticias,"24.215586, -99.4332699",Central America
Incident,2016,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.140133, -112.988433",Northern America
Incident,2016,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1396, -112.9909",Northern America
Incident,2016,October,Mixed,Mediterranean,Unknown,29,0,29,107,0,0,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,25 nautical miles from the Libyan coast,Al Jazeera,"30.8804954, 16.3516697",Uncategorized
Incident,2016,October,Unknown,Mediterranean,Unknown,1,0,1,0,1,0,0,Mixed or unknown,Central Mediterranean,"Died in hospital in Sicily, Italy",IOM Italy,"37.3439399, 14.1114399",Uncategorized
Incident,2016,October,Mixed,Mediterranean,Unknown,1,29,30,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Mixed,Mediterranean,Unknown,,29,29,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Unknown,Mediterranean,Unknown,9,1,10,0,1,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy Reuters,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Unknown,Mediterranean,Unknown,6,4,10,0,4,0,2,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Western Africa,Mediterranean,"Guinea,Mali,Senegal",97,0,97,29,3,92,2,Drowning,Central Mediterranean,"26 miles east of Tripoli, Libya",Libyan Coast Guard via IOM Libya,"32.955844, 13.2279444",Uncategorized
Incident,2016,October,Unknown,Mediterranean,Unknown,,10,10,140,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Western Asia,Europe,Syrian Arab Republic,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Outside of Calais, France",TheLocal.fr,"50.9518803, 1.8339367",Western Europe
Incident,2016,October,Mixed,Mediterranean,Unknown,2,32,34,0,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.748933, -110.17615",Northern America
Incident,2016,October,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Unspecified location in the desert in New Mexico, USA",Los Angeles Times,"32.26370999, -105.430636975",Northern America
Incident,2016,October,Unknown,Mediterranean,Unknown,2,4,6,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Central America,Central America,Honduras,1,0,1,1,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks at 167 km Navojoa Obregon International Highway, near Navojoa, Sonora, Mexico",Periodico Se Manalo Frontera,"27.0535507, -109.4414337",Central America
Incident,2016,October,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,0,0,1,0,Violence,,"Ain Diwar, Syria near border of Syria/Türkiye/Iraq",Syrian Observatory for Human Rights,"37.2857511, 42.1994163",Western Asia
Incident,2016,October,Unknown,Mediterranean,Unknown,3,0,3,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,October,Caribbean,South America,Dominican Republic,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Unspecified location between Bolivia and Chile,El gobierno de la linea,"-21.0174131, -68.9435313",South America
Incident,2016,October,Caribbean,Caribbean,Cuba,1,5,6,7,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Near Port Aransas, Corpus Christi, Texas, USA",Noticias RPTV,"27.7345075, -97.4065528",Northern America
Incident,2016,October,Unknown,Northern Africa,Unknown,7,0,7,0,0,0,0,Violence,Sahara Desert crossing,"Unspecified location, Libya",MHub,"27.0663171, 14.3336145",Northern Africa
Incident,2016,October,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,,"Subratah, Libya",MHub,"32.7811016, 12.4495221",Northern Africa
Incident,2016,October,Unknown,Northern Africa,Unknown,5,0,5,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Sahara Desert, between Khartoum, Sudan and Libya",MHub,"19.6438237, 24.4293268",Northern Africa
Incident,2016,October,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location, Libya",MHub,"27.0663171, 14.3336145",Northern Africa
Incident,2016,November,Central America,Central America,Guatemala,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Juchitan Hospital, Ixtepec, Oaxaca, Mexico",Grupo Beta Ixtepec,"16.495043, -95.1357525",Central America
Incident,2016,November,Mixed,Mediterranean,Unknown,87,24,111,29,16,59,3,Drowning,Central Mediterranean,25 miles off the coast of Libya,IOM Italy,"30.8804954, 16.3516697",Uncategorized
Incident,2016,November,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,At the border of Eritrea and Sudan,Mixed Migration Monitoring Mechanism Initative (4mi),"15.893138, 35.6721952",Eastern Africa
Incident,2016,November,Southern Asia,South-eastern Asia,Malaysia,54,6,60,39,0,0,1,Drowning,,Near unspecified island in Indonesia,AFP,"-1.4674013, 123.0062604",South-eastern Asia
Incident,2016,November,Mixed,Mediterranean,Unknown,,128,128,2,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Western / Southern Asia (P),Mediterranean,Unknown,1,0,1,48,0,1,0,Drowning,Eastern Mediterranean,"Died upon arrival to port of Karlovasi, Samos, Greece. Shipwreck occurred at unspecified location between Türkiye and Samos. ",IOM Greece,"37.7245805, 26.6778283",Uncategorized
Incident,2016,November,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.723883, -112.106567",Northern America
Incident,2016,November,Sub-Saharan Africa (P),Mediterranean,Unknown,10,12,22,0,12,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,Italian Coast Guard,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Unknown,Mediterranean,Unknown,1,0,1,115,0,0,0,Drowning,Central Mediterranean,"Unspecified location northwest of Khoms, Libya",AFP,"32.7632988, 14.3136308",Uncategorized
Incident,2016,November,Central America,Central America,Honduras,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",Laredo Monitor,"27.4531416, -99.6148525",Central America
Split Incident,2016,November,South America,Caribbean,"Brazil,Cuba,Dominican Republic",,19,19,0,0,0,0,Mixed or unknown,Caribbean to US,"Between Nassau, Bahamas and Miami, Florida, USA","IOM Brazil, Business Standard News","25.3589927, -79.7192827",Uncategorized
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"14.0316722, 35.3417723",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"15.5015341, 32.5025561",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Mountain cave in the desert, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"20.01051, 28.43227",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"In the desert around Asyut, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"27.1170691, 30.9881202",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sinnar, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"12.9179932, 33.19502",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Desert of Aswan on border of Sudan and Egypt,Mixed Migration Monitoring Mechanism Initative (4mi),"21.9470654, 31.1501554",Northern Africa
Incident,2016,November,Southern Asia,South-eastern Asia,Myanmar,,5,5,0,1,0,4,Drowning,,"Naf River, on border between Bangladesh and Myanmar",Arakan Times,"20.9649223, 92.2139799",South-eastern Asia
Incident,2016,November,Mixed,Mediterranean,Unknown,4,22,26,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.5788, -112.07773",Northern America
Incident,2016,November,Caribbean,Central America,Haiti,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,"Hospital Mexico, San José, Costa Rica.",Presidency of Costa Rica (Official communiqué),"9.9513947, -84.1168109",Central America
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,10,0,10,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Around abu hamad in the desert, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"19.5252595, 33.2973288",Northern Africa
Incident,2016,November,Central America,Central America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Between Tacotulpa and Teapa, Tabasco, Mexico",Diario Presente,"18.1404396, -93.4512256",Central America
Incident,2016,November,South America,Central America,Brazil,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"Río Grande, Nuevo Laredo, Tamaulipas, Mexico",Brazilian Voice,"27.4531416, -99.6146319",Central America
Incident,2016,November,Sub-Saharan Africa (P),Mediterranean,Unknown,5,1,6,114,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,SOS Mediteranee,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Sub-Saharan Africa (P),Mediterranean,Unknown,,135,135,15,0,135,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Unknown,Mediterranean,Unknown,,3,3,122,0,3,1,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,,"In the Nile River around Al Bawga, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"19.3550784, 32.6471324",Northern Africa
Incident,2016,November,Eastern Africa (P),Eastern Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,,"Around Metema Road, Shawira, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),"11.9341684, 36.8649179",Eastern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,4,0,4,0,0,0,0,Mixed or unknown,Sahara Desert crossing,In the Sahara Desert near Egypt-Sudan border,Mixed Migration Monitoring Mechanism Initative (4mi),"21.73561, 28.47623",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"Wad Madani, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"14.3830752, 33.4611726",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"17.6922271, 33.9762492",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,4,0,4,0,0,0,0,Violence,Sahara Desert crossing,"In the desert near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"23.459686, 30.6654494",Northern Africa
Incident,2016,November,Southern Asia,South-eastern Asia,Myanmar,3,0,3,0,2,1,3,Drowning,,"Naf River, on border between Bangladesh and Myanmar",OHCHR,"20.9649223, 92.2139799",South-eastern Asia
Incident,2016,November,Mixed,Mediterranean,Unknown,4,95,99,23,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,Reuters,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Western / Southern Asia (P),Mediterranean,Unknown,4,0,4,15,0,4,0,Drowning,Eastern Mediterranean,"14 km east of Thassos, Greece",Hellenic Coast Guard,"40.6497756, 24.6518013",Uncategorized
Incident,2016,November,Mixed,Mediterranean,Unknown,7,96,103,27,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.724167, -111.9245",Northern America
Incident,2016,November,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.26808, -111.91801",Northern America
Incident,2016,November,Southern Asia,South-eastern Asia,Myanmar,1,0,1,1,1,0,0,Violence,,"Unspecified location in Myanmar, near border with Bangladesh",AFP,"21.7516438, 92.6041005",South-eastern Asia
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,3,0,Violence,Sahara Desert crossing,"Wad Madani, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"14.3830752, 33.4611726",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,2,0,Violence,Sahara Desert crossing,"Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"15.5015341, 32.5025561",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,4,0,4,0,0,0,0,Violence,Sahara Desert crossing,"In the Sahara Desert, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"20.9166, 27.86085",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),"23.285107, 31.5204557",Northern Africa
Incident,2016,November,Eastern Africa,Europe,Eritrea,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Near the Borghetto station at the border between Veneto and Trentino, Italy",Open Migration,"46.0991713, 10.7746988",Southern Europe
Incident,2016,November,Unknown,Mediterranean,Unknown,,25,25,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,UNHCR,"34.2533716, 14.4988153",Uncategorized
Incident,2016,November,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"at the the border with Sudan, near Haikota, Eritrea ",Mixed Migration Monitoring Mechanism Initative (4mi),"20.7852206, 23.8458003",Eastern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Al Hajer, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"17.1837833, 34.6103947",Northern Africa
Incident,2016,November,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"La Patrona, Amatlán, Veracruz, Mexico",El Piñero de la Cuenca,"18.2681566, -95.8969461",Central America
Incident,2016,November,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.8707, -112.7542",Northern America
Incident,2016,November,Western Asia,Mediterranean,Syrian Arab Republic,6,3,9,4,0,0,0,Drowning,Eastern Mediterranean,"Unspecified location off the coast of Didim, Aydin, Türkiye. Likely en route to Farmakonisi, Greece.",UNHCR,"37.3470607, 27.1845561",Uncategorized
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"At the desert, after crossing  khartoum, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"15.3503337, 32.4374949",Northern Africa
Incident,2016,November,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,"Near Hargeisa, Somalia",Mixed Migration Monitoring Mechanism Initative (4mi),"9.5488981, 44.0293346",Eastern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Al Hajer, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"17.1837833, 34.6103947",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"14.0316722, 35.3417723",Northern Africa
Incident,2016,November,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),"17.6922271, 33.9762492",Northern Africa
